ClientID,Recency,Frequency,Monetary,cluster,SegmentRFM,ActionRecommandee
CLT00001,73,6,273493.001,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00002,203,11,46828.96,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00003,107,5,8565.36,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00004,80,3,92388.608,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00005,524,4,54662.762,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00006,379,5,191968.069,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00007,260,4,7628.74,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00008,231,1,1646.0,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00009,151,5,21203.541,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00010,61,5,21584.49,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00011,433,8,311071.32,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00012,79,6,45211.067,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00013,498,7,17785.629,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00014,86,3,5877.103999999999,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00015,154,4,34535.678,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00016,28,5,32951.31,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00017,494,2,27604.72,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00018,99,6,8021.152,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00019,522,6,56038.8,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00020,182,3,12649.828,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00021,583,5,29993.01,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00022,105,4,88485.408,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00023,5,6,256273.64,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00024,68,3,15741.34,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00025,40,4,36035.114,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00026,126,4,48854.52,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00027,252,5,6194.493,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00028,73,4,13765.75,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00029,115,4,17582.442,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00030,480,7,252743.85,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00031,572,7,35706.433,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00032,238,3,91818.55,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00033,190,4,20672.2,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00034,134,6,55075.8,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00035,234,7,69519.83,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00036,174,3,30741.2,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00037,249,3,33814.66,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00038,144,6,73465.292,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00039,13,4,9579.907,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00040,390,10,25278.96,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00041,53,14,62338.269,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00042,449,2,3555.346,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00043,86,9,272054.17,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00044,328,3,38398.53,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00045,62,4,142536.606,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00046,560,2,6135.678,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00047,30,7,23482.438,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00048,527,3,90952.81,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00049,890,6,31269.212,3,Perdus,"Campagne de réactivation, offre de retour spéciale"
CLT00050,227,4,6090.782,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00051,10,8,49228.551,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00052,35,5,150426.72,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00053,185,6,50263.109,2,Champions,"Programme VIP, récompenses exclusives, vente croisée"
CLT00054,274,3,15233.4,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00055,345,2,1779.36,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00056,368,1,1864.105,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
CLT00057,204,9,404169.999,1,Réguliers,"Offres de fidélisation, points bonus, upselling"
CLT00058,380,3,72362.20999999999,0,À Surveiller,"Relance légère, offre personnalisée, sondage satisfaction"
